Prediction,Logits,TrueLabels
0,"tensor([0.8104, 0.1896])",0
0,"tensor([0.5585, 0.4415])",0
1,"tensor([0.0351, 0.9649])",0
1,"tensor([0.1360, 0.8640])",0
0,"tensor([0.7764, 0.2236])",0
0,"tensor([0.9057, 0.0943])",0
1,"tensor([0.4737, 0.5263])",0
1,"tensor([0.0770, 0.9230])",0
0,"tensor([0.9695, 0.0305])",0
0,"tensor([0.5165, 0.4835])",0
0,"tensor([0.9404, 0.0596])",0
0,"tensor([0.9643, 0.0357])",0
0,"tensor([0.8539, 0.1461])",0
1,"tensor([0.3843, 0.6157])",0
0,"tensor([0.9924, 0.0076])",0
0,"tensor([0.8147, 0.1853])",0
1,"tensor([0.3703, 0.6297])",0
0,"tensor([0.8865, 0.1135])",0
0,"tensor([0.5277, 0.4723])",0
0,"tensor([0.9917, 0.0083])",0
0,"tensor([0.6808, 0.3192])",0
0,"tensor([0.8951, 0.1049])",0
0,"tensor([0.6689, 0.3311])",0
0,"tensor([0.7201, 0.2799])",0
0,"tensor([0.9392, 0.0608])",0
0,"tensor([0.9432, 0.0568])",0
0,"tensor([0.9267, 0.0733])",0
0,"tensor([0.8814, 0.1186])",0
0,"tensor([0.6462, 0.3538])",0
0,"tensor([0.9504, 0.0496])",0
1,"tensor([0.1199, 0.8801])",0
0,"tensor([0.9293, 0.0707])",0
0,"tensor([0.8300, 0.1700])",0
0,"tensor([0.5874, 0.4126])",0
1,"tensor([0.3642, 0.6358])",0
1,"tensor([0.4117, 0.5883])",0
0,"tensor([0.9813, 0.0187])",0
1,"tensor([0.2059, 0.7941])",0
0,"tensor([0.6000, 0.4000])",0
0,"tensor([0.8033, 0.1967])",0
0,"tensor([0.9767, 0.0233])",0
1,"tensor([0.3386, 0.6614])",0
0,"tensor([0.9362, 0.0638])",0
0,"tensor([0.7817, 0.2183])",0
1,"tensor([0.1588, 0.8412])",0
0,"tensor([0.8818, 0.1182])",0
0,"tensor([0.7067, 0.2933])",0
0,"tensor([0.6892, 0.3108])",0
0,"tensor([0.6268, 0.3732])",0
0,"tensor([0.9498, 0.0502])",0
0,"tensor([0.6535, 0.3465])",0
0,"tensor([0.9199, 0.0801])",0
0,"tensor([0.9448, 0.0552])",0
0,"tensor([0.5460, 0.4540])",0
0,"tensor([0.5470, 0.4530])",0
1,"tensor([0.3177, 0.6823])",0
0,"tensor([0.8815, 0.1185])",0
0,"tensor([0.9725, 0.0275])",0
1,"tensor([0.4901, 0.5099])",0
0,"tensor([0.7274, 0.2726])",0
0,"tensor([0.8710, 0.1290])",0
0,"tensor([0.9007, 0.0993])",0
0,"tensor([0.9092, 0.0908])",0
0,"tensor([0.7175, 0.2825])",0
0,"tensor([0.8494, 0.1506])",0
1,"tensor([0.4752, 0.5248])",0
0,"tensor([0.6860, 0.3140])",0
0,"tensor([0.7375, 0.2625])",0
1,"tensor([0.4604, 0.5396])",0
1,"tensor([0.3887, 0.6113])",0
1,"tensor([0.1524, 0.8476])",0
0,"tensor([0.9981, 0.0019])",0
0,"tensor([0.8757, 0.1243])",0
1,"tensor([0.0444, 0.9556])",0
1,"tensor([0.3983, 0.6017])",0
1,"tensor([0.4907, 0.5093])",0
1,"tensor([0.3592, 0.6408])",0
0,"tensor([0.7167, 0.2833])",0
0,"tensor([0.7807, 0.2193])",0
1,"tensor([0.3876, 0.6124])",0
0,"tensor([0.9522, 0.0478])",0
1,"tensor([0.4936, 0.5064])",0
0,"tensor([0.9167, 0.0833])",0
0,"tensor([0.7347, 0.2653])",0
1,"tensor([0.2381, 0.7619])",0
0,"tensor([0.9430, 0.0570])",0
0,"tensor([0.7995, 0.2005])",0
0,"tensor([0.9449, 0.0551])",0
0,"tensor([0.8971, 0.1029])",0
1,"tensor([0.0668, 0.9332])",0
0,"tensor([0.8448, 0.1552])",0
0,"tensor([0.8520, 0.1480])",0
0,"tensor([0.6214, 0.3786])",0
1,"tensor([0.1694, 0.8306])",0
0,"tensor([0.9436, 0.0564])",0
1,"tensor([0.1898, 0.8102])",0
0,"tensor([0.6333, 0.3667])",0
0,"tensor([0.8832, 0.1168])",0
0,"tensor([0.9244, 0.0756])",0
1,"tensor([0.4248, 0.5752])",0
0,"tensor([0.6964, 0.3036])",0
0,"tensor([0.8621, 0.1379])",0
0,"tensor([0.9332, 0.0668])",0
0,"tensor([0.6032, 0.3968])",0
0,"tensor([0.6128, 0.3872])",0
0,"tensor([0.5654, 0.4346])",0
0,"tensor([0.9344, 0.0656])",0
0,"tensor([0.7422, 0.2578])",0
0,"tensor([0.9260, 0.0740])",0
0,"tensor([0.8128, 0.1872])",0
0,"tensor([0.7650, 0.2350])",0
0,"tensor([0.7680, 0.2320])",0
0,"tensor([0.9666, 0.0334])",0
0,"tensor([0.9525, 0.0475])",0
0,"tensor([0.9605, 0.0395])",0
0,"tensor([0.9634, 0.0366])",0
0,"tensor([0.9367, 0.0633])",0
0,"tensor([0.8116, 0.1884])",0
1,"tensor([0.3934, 0.6066])",0
0,"tensor([0.6955, 0.3045])",0
0,"tensor([0.6141, 0.3859])",0
0,"tensor([0.9201, 0.0799])",0
0,"tensor([0.9515, 0.0485])",0
1,"tensor([0.3582, 0.6418])",0
1,"tensor([0.0840, 0.9160])",0
0,"tensor([0.6201, 0.3799])",0
1,"tensor([0.2727, 0.7273])",0
0,"tensor([0.8838, 0.1162])",0
0,"tensor([0.9717, 0.0283])",0
0,"tensor([0.7061, 0.2939])",0
1,"tensor([0.1127, 0.8873])",0
0,"tensor([0.9758, 0.0242])",0
0,"tensor([0.9097, 0.0903])",0
