TrueLabels,Prediction,Logits,FileName
0,0,[0.57478803 0.425212  ],/home/ubuntu/data/project_data/cropped2/train/fake/easy_100_1111.png
0,0,[0.5945218  0.40547815],/home/ubuntu/data/project_data/cropped2/train/fake/easy_101_0010.png
0,0,[0.57542807 0.42457196],/home/ubuntu/data/project_data/cropped2/train/fake/easy_102_0101.png
0,0,[0.56810373 0.43189624],/home/ubuntu/data/project_data/cropped2/train/fake/easy_103_1111.png
0,0,[0.5781531  0.42184693],/home/ubuntu/data/project_data/cropped2/train/fake/easy_104_1000.png
0,0,[0.5658641  0.43413594],/home/ubuntu/data/project_data/cropped2/train/fake/easy_105_1100.png
0,0,[0.59312326 0.40687674],/home/ubuntu/data/project_data/cropped2/train/fake/easy_106_0011.png
0,0,[0.57752967 0.42247033],/home/ubuntu/data/project_data/cropped2/train/fake/easy_107_1011.png
0,0,[0.581487   0.41851297],/home/ubuntu/data/project_data/cropped2/train/fake/easy_108_1111.png
0,0,[0.5778253  0.42217475],/home/ubuntu/data/project_data/cropped2/train/fake/easy_109_1111.png
0,0,[0.56612676 0.4338732 ],/home/ubuntu/data/project_data/cropped2/train/fake/easy_110_0001.png
0,0,[0.57652265 0.42347735],/home/ubuntu/data/project_data/cropped2/train/fake/easy_111_1101.png
0,0,[0.57404053 0.4259595 ],/home/ubuntu/data/project_data/cropped2/train/fake/easy_112_1001.png
0,0,[0.56932807 0.43067193],/home/ubuntu/data/project_data/cropped2/train/fake/easy_113_0011.png
0,0,[0.57642615 0.42357385],/home/ubuntu/data/project_data/cropped2/train/fake/easy_114_1110.png
0,0,[0.56727904 0.43272096],/home/ubuntu/data/project_data/cropped2/train/fake/easy_115_0010.png
0,0,[0.56487435 0.43512568],/home/ubuntu/data/project_data/cropped2/train/fake/easy_117_0101.png
0,0,[0.57296145 0.4270386 ],/home/ubuntu/data/project_data/cropped2/train/fake/easy_118_1111.png
0,0,[0.5762533  0.42374673],/home/ubuntu/data/project_data/cropped2/train/fake/easy_119_0011.png
0,0,[0.5887311  0.41126886],/home/ubuntu/data/project_data/cropped2/train/fake/easy_120_0011.png
0,0,[0.58146906 0.41853088],/home/ubuntu/data/project_data/cropped2/train/fake/easy_121_0011.png
0,0,[0.57703924 0.4229607 ],/home/ubuntu/data/project_data/cropped2/train/fake/easy_122_1011.png
0,0,[0.5907912  0.40920877],/home/ubuntu/data/project_data/cropped2/train/fake/easy_123_0100.png
0,0,[0.58429176 0.4157083 ],/home/ubuntu/data/project_data/cropped2/train/fake/easy_124_1110.png
0,0,[0.5757991 0.4242009],/home/ubuntu/data/project_data/cropped2/train/fake/easy_125_0011.png
0,0,[0.58387107 0.41612896],/home/ubuntu/data/project_data/cropped2/train/fake/easy_126_0111.png
