Prediction,Logits,TrueLabels
0,"tensor([0.9424, 0.0576])",0
0,"tensor([0.9842, 0.0158])",0
0,"tensor([0.8068, 0.1932])",0
1,"tensor([0.0315, 0.9685])",0
0,"tensor([0.9953, 0.0047])",0
0,"tensor([0.9264, 0.0736])",0
0,"tensor([0.9548, 0.0452])",0
0,"tensor([0.7350, 0.2650])",0
0,"tensor([0.9842, 0.0158])",0
1,"tensor([0.0351, 0.9649])",0
0,"tensor([0.7732, 0.2268])",0
0,"tensor([0.7744, 0.2256])",0
0,"tensor([0.9986, 0.0014])",0
0,"tensor([0.9837, 0.0163])",0
0,"tensor([9.9915e-01, 8.5416e-04])",0
0,"tensor([0.9663, 0.0337])",0
0,"tensor([0.9848, 0.0152])",0
0,"tensor([0.9884, 0.0116])",0
0,"tensor([0.9901, 0.0099])",0
0,"tensor([0.9971, 0.0029])",0
0,"tensor([0.6876, 0.3124])",0
0,"tensor([0.8984, 0.1016])",0
0,"tensor([0.9067, 0.0933])",0
1,"tensor([0.1587, 0.8413])",0
0,"tensor([0.9976, 0.0024])",0
0,"tensor([0.8635, 0.1365])",0
0,"tensor([0.9732, 0.0268])",0
0,"tensor([0.8302, 0.1698])",0
1,"tensor([0.3282, 0.6718])",0
0,"tensor([0.9004, 0.0996])",0
1,"tensor([0.4618, 0.5382])",0
0,"tensor([0.9989, 0.0011])",0
0,"tensor([0.9474, 0.0526])",0
0,"tensor([0.9053, 0.0947])",0
0,"tensor([0.6532, 0.3468])",0
0,"tensor([0.8612, 0.1388])",0
0,"tensor([0.9864, 0.0136])",0
1,"tensor([0.1654, 0.8346])",0
0,"tensor([0.9657, 0.0343])",0
0,"tensor([0.8415, 0.1585])",0
0,"tensor([0.7650, 0.2350])",0
0,"tensor([0.7892, 0.2108])",0
0,"tensor([0.9982, 0.0018])",0
0,"tensor([0.9215, 0.0785])",0
0,"tensor([0.8453, 0.1547])",0
0,"tensor([0.8880, 0.1120])",0
0,"tensor([0.8772, 0.1228])",0
0,"tensor([0.8951, 0.1049])",0
0,"tensor([0.9831, 0.0169])",0
0,"tensor([0.9674, 0.0326])",0
0,"tensor([0.6786, 0.3214])",0
0,"tensor([0.9944, 0.0056])",0
0,"tensor([0.9787, 0.0213])",0
0,"tensor([0.9977, 0.0023])",0
0,"tensor([0.9954, 0.0046])",0
0,"tensor([0.7027, 0.2973])",0
0,"tensor([0.8773, 0.1227])",0
0,"tensor([0.9957, 0.0043])",0
1,"tensor([0.1970, 0.8030])",0
0,"tensor([9.9973e-01, 2.6951e-04])",0
0,"tensor([0.9868, 0.0132])",0
0,"tensor([0.9490, 0.0510])",0
0,"tensor([0.9542, 0.0458])",0
0,"tensor([0.9882, 0.0118])",0
0,"tensor([0.9887, 0.0113])",0
1,"tensor([0.1792, 0.8208])",0
0,"tensor([0.6083, 0.3917])",0
0,"tensor([0.9849, 0.0151])",0
0,"tensor([0.5729, 0.4271])",0
0,"tensor([0.9693, 0.0307])",0
0,"tensor([0.7233, 0.2767])",0
0,"tensor([0.9697, 0.0303])",0
0,"tensor([0.9161, 0.0839])",0
1,"tensor([0.4224, 0.5776])",0
0,"tensor([0.9406, 0.0594])",0
0,"tensor([0.7518, 0.2482])",0
0,"tensor([0.9513, 0.0487])",0
0,"tensor([0.9734, 0.0266])",0
0,"tensor([0.9808, 0.0192])",0
1,"tensor([0.4140, 0.5860])",0
0,"tensor([0.9987, 0.0013])",0
1,"tensor([0.3145, 0.6855])",0
0,"tensor([0.9982, 0.0018])",0
0,"tensor([0.9931, 0.0069])",0
0,"tensor([0.9040, 0.0960])",0
0,"tensor([0.9500, 0.0500])",0
0,"tensor([0.8121, 0.1879])",0
0,"tensor([0.9378, 0.0622])",0
0,"tensor([0.9233, 0.0767])",0
1,"tensor([0.3715, 0.6285])",0
0,"tensor([0.9975, 0.0025])",0
0,"tensor([0.9952, 0.0048])",0
0,"tensor([0.9941, 0.0059])",0
0,"tensor([0.8125, 0.1875])",0
0,"tensor([0.9146, 0.0854])",0
0,"tensor([0.7872, 0.2128])",0
0,"tensor([0.9915, 0.0085])",0
0,"tensor([0.9983, 0.0017])",0
0,"tensor([0.9896, 0.0104])",0
1,"tensor([0.1485, 0.8515])",0
0,"tensor([0.9583, 0.0417])",0
0,"tensor([0.7972, 0.2028])",0
1,"tensor([0.4861, 0.5139])",0
0,"tensor([0.9479, 0.0521])",0
1,"tensor([0.4198, 0.5802])",0
0,"tensor([0.9603, 0.0397])",0
0,"tensor([0.9842, 0.0158])",0
0,"tensor([0.9327, 0.0673])",0
0,"tensor([0.8467, 0.1533])",0
0,"tensor([0.9124, 0.0876])",0
0,"tensor([0.8008, 0.1992])",0
0,"tensor([0.8356, 0.1644])",0
0,"tensor([0.9883, 0.0117])",0
0,"tensor([0.8836, 0.1164])",0
0,"tensor([0.9769, 0.0231])",0
0,"tensor([0.9921, 0.0079])",0
0,"tensor([0.9969, 0.0031])",0
0,"tensor([0.8486, 0.1514])",0
0,"tensor([0.8735, 0.1265])",0
0,"tensor([0.9477, 0.0523])",0
1,"tensor([0.4323, 0.5677])",0
0,"tensor([0.7865, 0.2135])",0
0,"tensor([0.9861, 0.0139])",0
1,"tensor([0.3576, 0.6424])",0
0,"tensor([0.7981, 0.2019])",0
0,"tensor([0.9848, 0.0152])",0
0,"tensor([0.6101, 0.3899])",0
0,"tensor([0.8317, 0.1683])",0
0,"tensor([0.9946, 0.0054])",0
0,"tensor([0.8322, 0.1678])",0
1,"tensor([0.0710, 0.9290])",0
0,"tensor([0.9974, 0.0026])",0
0,"tensor([0.7353, 0.2647])",0
1,"tensor([0.1086, 0.8914])",0
0,"tensor([0.9960, 0.0040])",0
0,"tensor([0.8002, 0.1998])",0
0,"tensor([0.7393, 0.2607])",0
0,"tensor([0.9905, 0.0095])",0
1,"tensor([0.4130, 0.5870])",0
0,"tensor([0.9880, 0.0120])",0
0,"tensor([0.9533, 0.0467])",0
0,"tensor([0.9670, 0.0330])",0
0,"tensor([0.8966, 0.1034])",0
0,"tensor([0.9889, 0.0111])",0
0,"tensor([0.9974, 0.0026])",0
0,"tensor([0.9622, 0.0378])",0
0,"tensor([0.9837, 0.0163])",0
0,"tensor([0.9834, 0.0166])",0
0,"tensor([0.9686, 0.0314])",0
0,"tensor([0.9484, 0.0516])",0
0,"tensor([0.9829, 0.0171])",0
0,"tensor([0.9908, 0.0092])",0
0,"tensor([0.9487, 0.0513])",0
1,"tensor([0.2965, 0.7035])",0
0,"tensor([0.9614, 0.0386])",0
1,"tensor([0.1613, 0.8387])",0
0,"tensor([0.9955, 0.0045])",0
0,"tensor([0.9878, 0.0122])",0
1,"tensor([0.4383, 0.5617])",0
0,"tensor([0.9437, 0.0563])",0
0,"tensor([0.9963, 0.0037])",0
0,"tensor([0.9459, 0.0541])",0
0,"tensor([0.8869, 0.1131])",0
0,"tensor([0.9940, 0.0060])",0
0,"tensor([0.9086, 0.0914])",0
0,"tensor([0.9535, 0.0465])",0
0,"tensor([0.7228, 0.2772])",0
0,"tensor([0.8361, 0.1639])",0
1,"tensor([0.3075, 0.6925])",0
0,"tensor([0.9001, 0.0999])",0
0,"tensor([0.6654, 0.3346])",0
0,"tensor([0.7101, 0.2899])",0
1,"tensor([0.1922, 0.8078])",0
0,"tensor([0.9742, 0.0258])",0
0,"tensor([0.9982, 0.0018])",0
0,"tensor([0.8836, 0.1164])",0
0,"tensor([0.9632, 0.0368])",0
0,"tensor([0.9607, 0.0393])",0
1,"tensor([0.2483, 0.7517])",0
0,"tensor([0.9617, 0.0383])",0
0,"tensor([0.9365, 0.0635])",0
0,"tensor([0.9612, 0.0388])",0
0,"tensor([0.9406, 0.0594])",0
0,"tensor([0.9279, 0.0721])",0
0,"tensor([0.9989, 0.0011])",0
0,"tensor([9.9961e-01, 3.9046e-04])",0
0,"tensor([0.9988, 0.0012])",0
0,"tensor([0.9617, 0.0383])",0
0,"tensor([0.9969, 0.0031])",0
0,"tensor([0.5663, 0.4337])",0
0,"tensor([0.9855, 0.0145])",0
0,"tensor([0.8674, 0.1326])",0
0,"tensor([0.9927, 0.0073])",0
0,"tensor([0.7273, 0.2727])",0
0,"tensor([0.7890, 0.2110])",0
0,"tensor([0.9962, 0.0038])",0
0,"tensor([0.9447, 0.0553])",0
0,"tensor([0.9966, 0.0034])",0
0,"tensor([0.7112, 0.2888])",0
0,"tensor([0.6102, 0.3898])",0
0,"tensor([0.9126, 0.0874])",0
0,"tensor([0.6715, 0.3285])",0
0,"tensor([0.8999, 0.1001])",0
0,"tensor([0.9981, 0.0019])",0
0,"tensor([0.9741, 0.0259])",0
0,"tensor([0.8933, 0.1067])",0
0,"tensor([0.7843, 0.2157])",0
0,"tensor([0.9856, 0.0144])",0
0,"tensor([0.9313, 0.0687])",0
0,"tensor([0.9923, 0.0077])",0
0,"tensor([0.8655, 0.1345])",0
0,"tensor([0.9965, 0.0035])",0
1,"tensor([0.4407, 0.5593])",0
0,"tensor([0.9980, 0.0020])",0
0,"tensor([0.9912, 0.0088])",0
0,"tensor([0.9270, 0.0730])",0
0,"tensor([0.5456, 0.4544])",0
0,"tensor([0.8258, 0.1742])",0
0,"tensor([0.9898, 0.0102])",0
0,"tensor([0.9979, 0.0021])",0
0,"tensor([0.9681, 0.0319])",0
0,"tensor([0.9818, 0.0182])",0
0,"tensor([0.9808, 0.0192])",0
0,"tensor([0.9196, 0.0804])",0
1,"tensor([0.4214, 0.5786])",0
1,"tensor([0.3885, 0.6115])",0
0,"tensor([0.9649, 0.0351])",0
0,"tensor([0.5262, 0.4738])",0
0,"tensor([0.9394, 0.0606])",0
0,"tensor([0.8143, 0.1857])",0
0,"tensor([0.9524, 0.0476])",0
0,"tensor([0.9622, 0.0378])",0
0,"tensor([0.9431, 0.0569])",0
0,"tensor([0.9536, 0.0464])",0
0,"tensor([0.9173, 0.0827])",0
0,"tensor([0.9377, 0.0623])",0
1,"tensor([0.4582, 0.5418])",0
0,"tensor([0.9414, 0.0586])",0
0,"tensor([0.8723, 0.1277])",0
0,"tensor([0.9016, 0.0984])",0
1,"tensor([0.4859, 0.5141])",0
1,"tensor([0.2227, 0.7773])",0
0,"tensor([0.7393, 0.2607])",0
0,"tensor([0.9828, 0.0172])",0
0,"tensor([0.9220, 0.0780])",0
0,"tensor([0.9456, 0.0544])",0
0,"tensor([0.9916, 0.0084])",0
0,"tensor([0.6774, 0.3226])",0
0,"tensor([0.9183, 0.0817])",0
0,"tensor([0.9515, 0.0485])",0
0,"tensor([0.9809, 0.0191])",0
0,"tensor([0.9842, 0.0158])",0
0,"tensor([0.7729, 0.2271])",0
0,"tensor([0.9328, 0.0672])",0
0,"tensor([0.7295, 0.2705])",0
0,"tensor([0.8995, 0.1005])",0
1,"tensor([0.1005, 0.8995])",0
0,"tensor([0.5043, 0.4957])",0
0,"tensor([0.8646, 0.1354])",0
0,"tensor([0.6045, 0.3955])",0
0,"tensor([0.9978, 0.0022])",0
0,"tensor([0.9848, 0.0152])",0
0,"tensor([0.6130, 0.3870])",0
0,"tensor([0.8368, 0.1632])",0
0,"tensor([0.9320, 0.0680])",0
0,"tensor([0.8829, 0.1171])",0
1,"tensor([0.3595, 0.6405])",0
0,"tensor([0.7855, 0.2145])",0
0,"tensor([0.9971, 0.0029])",0
1,"tensor([0.4663, 0.5337])",0
0,"tensor([0.9953, 0.0047])",0
0,"tensor([0.9451, 0.0549])",0
0,"tensor([0.9971, 0.0029])",0
0,"tensor([0.8702, 0.1298])",0
0,"tensor([0.9877, 0.0123])",0
0,"tensor([0.9038, 0.0962])",0
0,"tensor([0.7980, 0.2020])",0
0,"tensor([0.5726, 0.4274])",0
1,"tensor([0.2498, 0.7502])",0
0,"tensor([0.9680, 0.0320])",0
0,"tensor([0.9753, 0.0247])",0
0,"tensor([0.8562, 0.1438])",0
0,"tensor([0.8726, 0.1274])",0
0,"tensor([0.9331, 0.0669])",0
0,"tensor([0.9737, 0.0263])",0
0,"tensor([0.9346, 0.0654])",0
0,"tensor([0.9020, 0.0980])",0
0,"tensor([0.9912, 0.0088])",0
0,"tensor([0.9130, 0.0870])",0
0,"tensor([0.9580, 0.0420])",0
0,"tensor([0.9794, 0.0206])",0
0,"tensor([0.9773, 0.0227])",0
0,"tensor([0.9695, 0.0305])",0
1,"tensor([0.1208, 0.8792])",0
0,"tensor([0.9778, 0.0222])",0
0,"tensor([0.9638, 0.0362])",0
0,"tensor([0.8653, 0.1347])",0
0,"tensor([0.8714, 0.1286])",0
0,"tensor([0.9835, 0.0165])",0
0,"tensor([0.5758, 0.4242])",0
0,"tensor([0.9891, 0.0109])",0
0,"tensor([0.9902, 0.0098])",0
0,"tensor([0.9266, 0.0734])",0
0,"tensor([0.9979, 0.0021])",0
0,"tensor([0.9882, 0.0118])",0
0,"tensor([0.9322, 0.0678])",0
0,"tensor([0.9624, 0.0376])",0
